dyu,fr,dyu_len,fr_len
ale a ka eme sɔrɔ,elle elle a eu aimé,17,19
yɛrɛkɔrɔsi kɛlitagali yɛfɛ ɲɛnɛjɛ kɛli la,protégé est développé en java,41,29
yɔrk nin mɔgɔ hakɛ de beyi,york compte environ habitants,26,29
siraba wolonfila bi ɲɔgɔn kunbɛn,sept rues sy raccordent,32,23
emovi donkili da yɔrɔ ɲuman,une vraie scène de teenmovie,27,28
ko olugu nɔgɔlebɛ o daletɛ ala kola,on est crasse et impie,35,22
pɔtland wɔrɔdugu ɲafan ka puɛt,la pointe nord de portland,30,26
ɲɔgɔnye nafaman,dune visite opportune,15,21
yiri filaburu yi brɛn marɔn le ye,ses rameaux sont brunmarron,33,27
ko kuraw tɛ,ce n’est pas un sujet nouveau,11,29
angilɛ kumakan,expressions et mots d’anglais,14,29
sɛk babitia wulu,cest que … balbutia médor,16,25
wala nbye n ka wari tunu tugu,je reperds mes arrhes…,29,22
cala zaponɛ mɔgɔjuguw tun ye kɔte sid mɔgɔw bagabaga,en effet la côte du sud était menacée par des pirates japonais,52,62
a bi mɔgɔ ɲaa minimini,ça en est vertigineux,22,21
mugan ni kelen bɔm ka kartie kan,vingt et un rue de beaume,32,25
ɲinigalikɛ minɛn gɛrɛfɛ,proche du questionnaire,23,23
a ba gosira a yɛrɛ tara,le comparant au sien,23,20
soo bolila lo,c’est un cavalier,13,17
brassure ni bâ chokô râ belgique,brassine rentre en belgique,32,27
kuma kelen kelen bɛ jatila,chaque mot compte a été pesé,26,28
nin papiɔn ni bi bɔ usitrali,ce papillon vit en australie,28,28
rensbur nana hanri fɛ,henri reçoit rendsburg,21,22
a bi bɔ halden,elle vit à halden,14,17
a lugu ye muso de ye wa,vous êtes une fille ,23,20
an ye saraka bɔ a ye,on lui a rendu hommage,20,22
o ye fanga don kɔrɔlekowla,la culture fut encouragée,26,25
i badeen musomani tɔgɔ ko di le,comment s’appelle votre sœur ,31,29
papa ubi n ye ni ye,père ubu me voilà me voilà ,19,27
kurusi ni dɛrɛnin bɛ kɔsɔbɛ,un pantalon trop serré,27,22
an bi se ka yɔrɔdɔ lue wa,vous voulez louer un film ,25,26
a sinɔgɔra kaɲɛ a,avezvous bien dormi,17,19
an ga sigilan bi mi,où sont nos chaises ,19,20
yiri yi a munumunu,il est environné de bois,18,24
ko déni lo,c’est une contrainte légère,10,27
bi ni kibaria di,je vais vous livrer un scoop,16,28
markɔf hakili sigira,marcof dévora son impatience,20,28
bisaaba ni kɔnɔton yɔrɔfila bilange dakarikan,trenteneuf bis rue bellanger,45,28
fani figɛmani,les sablés légers,13,17
waton sugukɔnɔna vɛbɛn kare kan,rue de waben à verton,31,21
kuma kelen kelen bɛ jatira,chaque mot compte a été pesé,26,28
aw ya ye wa sankolo bi jigira tuguni,vous avez vu il neige encore,36,28
pariziɛn naloman,connards de parisiens,16,21
sama cɛɲumani den bisaaba ni duuru,trentecinq beaux éléphants,34,26
a ka fari bonni lo ra,son point fort est le tir,21,25
dugutigi dencɛ erik ni badenmuso saba le,erik prince a trois sœurs,40,25
ala ka sijan di mama ubo ma,vive la mère ubu,27,16
sira kelen durɔn le sɛbɛra,une seule scène est écrite,26,26
an tun bi tara min lo ,où allionsnous ,22,15
kɛ o yɔrɔ la wagati la,soisy à lheure ,22,15
sigaliz tun laniba ra,cydalise en était sûre,21,22
yɔrɔbɛɛ bɛɛ ta,partout pour tous,14,17
fugulan den fila yɛrɛ lo,c’est même deux chapeaux ,24,25
a sigi yoro bi wigit,son siège est wiggins,20,21
en sigé na fêti déni na,assez de ces petites fêtes ,23,27
i kun ta dabila,cesse de faire la tête ,15,23
mogô chi koun ti kouma na,personne ne parlait,25,19
min bina kè a ka kè,advienne que pourra,19,19
a doussou ka di,elle est contente,15,17
a laminè oui ta on,réponds je ne sais pas,18,22
layuru nin bina dafa,l’engagement sera tenu,20,22
a tou bi fride ka yôrô le kèrè,il y jouait le rôle de frid,30,27
te ubiyɛn kafe lo kadi i ye ,tu préfères le thé ou le café,28,29
a ta yɔrɔ beyi suham ka sira ra,il est situé rue souham,31,23
sɛn zɛms ka siraba abi lembeye,route de lembeye saintjammes,30,28
o bi tlo kɛra n ka bon kan,on jase sur notre maison,26,24
a ye n ka ladili kan mɛn,suivez mes indications,24,22
aw be mulo yɛlɛla,qu’ouvrezvous ,17,14
ka wili ka bo yi tabali kan,se lever de table,27,17
bi ni sisan,aujourdhuimaintenant,11,20
wagati dɔra n bi facɛ sɛbɛ,j’écris souvent à mon père,26,26
kuruku ka minan bila yɔrɔ,du cidre de ferme,25,17
dugulasigi ye wɛnfɛldɛn,le cheflieu est weinfelden,23,26
fininkolo deni cɛɲumani,un lavelinge bruyant,23,20
tumabɛra a kan jan tumabɛra a kaɲ,plus cest loin mieux cest,33,25
ka ye a miriyaw la,de le voir dans ses pensées,18,27
ji ti anw fɛ,on manque deau,12,14
nisondiaya bi a kan,trésaillir de joie,19,18
i dɔgɔmuso ko ka di an ye,nous aimons ta sœur,25,19
balaw dɔ tun bi n kɔnɔna,un spectre m’attendait »,24,24
dɔnkɛ an bi na ɲɔngɔn ye yan,danse on verra bien,28,19
sɔdasi saba,trois des soldats,11,17
n bi tulu fɛnw dumu wagati damani,je mange souvent des pâtes,33,26
sanw bi tɛmɛna,des années passent,14,18
a tɔgɔ kɔrɔ ye caman,son nom signifie probité,20,24
a bi siran wa,il a peur la voix,13,17
n ka miriya ye ala ka cira deenw ye,c’est sûrement un prophète…,35,27
massa cɛ bi sinɔgɔla artaiɔn ye a fɔ,le roi dort dit dartagnan,36,25
bretɔnn ka kalan faw,des professeurs de breton,20,25
maseri angɛrvilɛr ka sira,rue de machery angervilliers,25,28
ntɔlenw,les tourterelles,7,16
andré de laeak ka sira mugan ni wɔɔrɔ,vingtsix rue andré de lohéac,37,28
lon kelen bi tɛmɛ,un million cinq cents,17,21
a ya kalen ka ta yɔgɔn wɛrɛ fɛ,il se jura de nen plus avoir,30,28
kulɛr juma lo ,cest quelle couleur ,14,20
n ba bɛɛ ta n yɛrɛ fɛ,je prends tout sur moi…,21,23
a kasa be bɔra,ça sent mauvais,14,15
dumunikɛbon,la salle à manger,11,17
pɔnba ka sira sanzera,allée du pont des arts changé,21,29
a ya ka mɔntru flɛ,regardant à sa montre,18,21
ohh ale fana ye dɔwɛrɛ ye,eh bien c’est particulier…,25,26
ɛri kelen ni klancɛ,une heure et demie,19,18
olugu mgɔw ko ka di o ye,eux ils aiment,24,14
martɛn dɔgɔcɛ bi gan a ra,martin petit prend le relais,25,28
kelen fɔlɔ a bi na n ka ko tɔw bɛɛ ɲagami,un… ça me gênerait davantage,41,28
an bi kalan kɛra,nous sommes en train de lire,16,28
o ya dabla wagati juma,et ils ont arrêté quand,22,23
kuru sara lo tun,cétait une vengeance,16,20
n ye ko kolon dɔ kɛ,jai commis une erreur,19,21
sigi ni ga kokɛtaw ye,ma vie dans laction,21,19
kuma man di ne ye,je suis plutôt timide,17,21
n ba darila an ka jigi,je vous en prie descendons,22,26
dusu dia ni ti se ka lakari,l’émotion fut indescriptible,27,29
ɛgɛn lanbɛr ka sira deen mugan ni duuru,vingtcinq rue eugène landais,39,28
aw yi n ka bataki sɔrɔwa,vous avez reçu ma lettre ,24,25
oumou bâ yi fé sorô,la mère ubu reçoit la régence,19,29
tuma dɔ revɛl kɛni le hakilitigi ye wa,revel est souvent défini comme un philosophe rationaliste,38,57
fa bi miniw ra o bi na se ko datugu ɔspi général la,les contrevenants pourront être internés à lhospice général,51,59
yoro ni gèrin tigè râ,le décor est à pans coupés,21,26
napoléon ka sodassi lo,ces vieux soldats de napoléon,22,29
a kan tcha,ce nest pas trop,10,16
o toumma lamè,elles ne l’avaient pas écouté,13,29
chichi écran lo,c’est un écran de fumée,15,23
kibaria djouma lo beyi,quoi de nouveau poteu ,22,22
a tina blassira,vous ne n’accompagnez pas …,15,27
a le sira jugu ni le bi taga bereni ka stade ra,impasse du stade périgny,47,24
a bina fêmê,même logique il est défendu,11,27
miriyata juman lo bi nin wolomani nin na,qu’en estil de ce critère,40,25
nin ye kanubaga fila ka dɔnkili le ye,c’est la chanson tendre et touchante de l’amante et de son amant,37,64
bokanegra seegi ra ka kɛ doz ye, boccanegra redevenu doge,31,25
o bonkɔnɔ minɛnw yɛrɛkɛ ni bɛ,le mobilier est dispersé,29,24
o hakili jigira a kun na nga wagati tun tɛmɛ na,il en eut lidée un peu tard,47,27
n dusu kasini bɛ fo ka dama tɛmɛ,jai fait une dépression,32,23
jurusiri yɔrɔw bɛ bilani le,des serrefiles se placèrent,27,27
o sira ba nin bi taga log la,route des loges cahagnes,28,24
a kɛnibɛ kom fo yi tun ma o sɔrɔ,ils ne parurent pas touchés,32,27
a ma na kɛ cogowcogo,coûte que coûte,20,15
gɔldsɔn ya ka p as sɔrɔ,goldston a obtenu son ph,23,24
a tagara kɔgɔji ra,il est parti en mer,18,19
n ye kuma kisɛ babaw nunuw kalan jonajona,j’ai lu les titres rapidement,41,29
sogo bina kɛ i fɛ wa,tu auras de la viande ,20,22
o tɔgɔ kɔni ban kun na,reste leur nom gravé,22,20
i lanino a ra ko bi na kanu wa,tu es sûr qu’elles aimeront,30,27
kalandenyɔrɔ wɛrɛ yɛlɛla tugun,un nouveau collège est fondé,30,28
a bi se ka mun lo sɔrɔ ka fɔ a ye,que peutil avoir à lui dire ,33,28
ni a ye n munumunu,s’il m’envoie promener ,18,23
i be elvire furu,tu épouses elvire,16,17
i ka vitri datugu,ferme ta vitre à la nuée,17,26
nin bɛ bina ɲanabɔ,tout cela va se stabiliser,18,26
yɔrɔ sumana,latmosphère se refroidit,11,24
sanpɛrɛn jigila damiɛn la tun,damiens fut foudroyé,29,20
bi lakol jan jorɛs,aujourd’hui école jean jaurès,18,29
ɲiningali sɔbɛ,une question importante,14,23
a kana siran,ne vous en faites pas ,12,22
a kaɲ ka famu,elle doit comprendre,13,20
kirɛyɔn wuleman lo bi n fɛ,jai un crayon rouge,26,19
a tun bɛn na joli lo ma,combien cétait ,23,15
o tagara na ye lɔndr,on l’emmena à londres,20,22
a tun bɔni lo a ma dɛ,il lui ressemblait,21,18
ma djama we lé,le décor est à pans coupés,14,26
a fo gnanan,on dira loffice des morts,11,25
fagari bi mɔgɔ maliya,la baffe ça humilie,21,19
e o ko ka gwɛlɛ dɛ,ah que c’est cocasse ,18,21
on tun ka ɲi ka yelen,cétait les dissoudre,21,20
nin yɔrɔ nin fankelen kari nin bɛ,le décor est à pans coupés,33,26
fɛta wɛrɛ beyi min ma sɔn nin fɛta ma,d’autres arguments plaident contre cet amendement,37,49
a bi tanni kɛ cɛmancɛ ra enosis neɔn paralimini ra,il occupe actuellement le poste de milieu à énosis néon paralímni,50,65
ka ta bi ma n bina toka i ka sɔrɔ a ɲɔgɔn fila lo di ma,a compter d’aujourd’hui je double tes gages,55,43
ko kunbaba tun yi yiri turu le ye,il est également lobjet de reboisement durable,33,46
nin hakili jagabɔ ni bi sira ɲuman kan idi bi na son a ma,cette proposition va dans le bon sens et le groupe udi la soutiendra,57,68
sɛbɛn sen kalan yɔrɔlo,la faculté des lettres,22,22
nin dugu deni faranibɛ limoge ka arɔnsiseman kan,le canton est entièrement inclus dans larrondissement de limoges,48,64
kumafɔ baga ɲalonnitɛ,le rapporteur est désavoué,21,26
ni fana ye fɛrɛ dɔ le ye,voilà du moins la théorie,24,25
breton yɛrɛyɛrɛ le yi nunu ye,de vrais bretons,29,16
fɛn min bi kungolo bana di mɔgɔma,voir syndrome cérébelleux,33,25
ko wɛtɛrɛ bé yi caruf ra,y a une promo à carrouf,24,23
miriya caman tun bi njereras la,enjolras était demeuré pensif,31,29
jybok yi hakili jagabɔ kɛ ko kɔrɔw kan,dubourg rappela des anecdotes anciennes,38,39
o yi duguni bɔsi o yi jɛni ni kɛ o yi benkaniw kɛ ka faratuguni o yi dugu denw ta ko bla jonmaya ma,la ville est prise pillée puis incendiée et la population est emmenée en esclavage,99,82
hakili sigi le ɲɔgɔn te yi,à défaut sagesse,26,16
tɔnɔ bi atelie ni na,latelier est très prolifique,20,28
ka ko yafô,d’écrire des épisodes,10,21
sassan sissan lo,actuellement l’article l,16,24
ale lo kɛni bɛ marais ka sira ye,il demeure rue des marais,32,25
anga djen ka dougawou kè anga dougou kolo yé,trinquons à la république,44,25
ni kalan fa tchièni toumbi yèlè la,ce petit précepteur riait,34,25
djabara ni kari la,le téléviseur est cassé,18,23
i dôgô mousso wqlima i kôrô mousso,tu aimerais ta sœur,34,19
yoro yan toug kadi,le temps était beau,18,19
murat ka sira tounta fè,murat lignorait aussi,23,21
ayi djigê miné folo,autrefois elle pêcha,19,20
moulo bi tchè râ do,questce qui lui arrive ,19,23
ayi kè wagati la,soyezy à lheure ,16,16
akili ynaman lo,ah c’est une bonne idée,15,23
mbi fèga weleni kè,j’aimerais téléphoner,18,21
a kooibi fèga kouma wa,veuxtu parler ditil,22,19
alouhou djon yé,qu’estce que vous êtes ,15,23
a kagni ka ta sissan,je dois y aller maintenant,20,26
ne lali bara ka toumbi na dia a yé,je suis sûr quil aurait aimé,34,28
mogô chi toun soumani tè tougiu,nul nétait plus discret,31,23
bina a welé,je vous appellerai,11,18
sigi na foyi teyi,il n’y a aucune autre chaise,17,28
yirô bè koumouni bè,tout à fait fatigué,19,19
aka so môgô dô lo wa,ce sont des parents à vous ,20,27
alou kanou ni bè,nous nous sommes aimés,16,22
sira tchama,rue cinqpères au numéro un,11,26
ayi djabara ni faga,éteignez le téléviseur,19,22
a tun ya kan kalan kɛ phidias ,il fut élève de phidias,30,23
ɲanamaw ani kuntanw ,les bons et les mauvais,20,23
a kèra kèlê kè kountigi yé,il reçoit la croix de guerre,26,28
iyi wôlon yé foka tèmè,ah que tu es curieuse …,22,23
nin ni tun bi alɛs ni ardwasi nin tugu ɲɔngɔ na,elle reliait alès à lardoise,47,28
i ta lo ye nin ye,cest celuilà le tien,17,20
a ɲa tigɛra sisan,elle est assez grande,17,21
abada,du tout du tout ,5,16
o ya kɛ ni indiyana ka bɔgɔnangwɛ le ye,elle est taillée en pierre calcaire de lindiana,39,47
a kaɲi teen muso,olympe ça suffit madame …,16,25
a lɔra tasuma kɔrɔ,il s’adosse à la cheminée,18,25
a diala ka tɛmɛ,il délirait de triomphe,15,23
sira biwɔrɔ rɛne palis,trois cents rue rené palix,22,26
a dusu jigira,avec une colère contenue,13,24
a taga cogo kaɲ,lascension est facile,15,21
loru sira zan dima,cinq rue jean dumas,18,19
h kadi yan kuluba ye,ian culbard est fan dh,20,22
an ka mɔgɔ minw sara ala bino sara,le ciel venge nos martyrs,34,25
premiyela anu tun bi jinɔgɔ nin siɲɛn la ni parɛ ye,nous pouvons voir les débuts des flaques deaux apparaître,51,57
a tagara kɔbelɛn fɛ lɔgɔra,en ce cas fitil combelaine sait lexistence de laurent et sa présence à paris,26,76
a fankelen tun lani lo fasial kan na ye kokolon kɛ a kan a ba dɛmɛ ka kɛ,il le supportait avec résignation et cela délivrait facial de la moitié de ses soucis,72,85
i be saba min ta ka taga dɔtɔrɔcɛ fɛ,onze rue du docteur valentin douze mille quatre cents saintaffrique,36,67
dimasi lonna ni kuran tigɛra adamadenw bɛ bo yɛrɛɲini,le dimanche étienne séchappa du coron dès la nuit tombée,53,56
gobele bila ni flɛ,pontcharrat voilà un verbe ,18,27
ɔrganisasiyɔn asosiyal o bɛ bi ta reniyɔn kɔ dugutigi fɛ,l’organisation a son siège social à san francisco,56,49
o tina muruti,ils ne se plaindront pas ,13,25
ala ka su hɛrɛ musomanninw,bonne nuit les filles,26,21
a bi n fɛ ɲanaman,elle maime beaucoup,17,19
a nana a yɛrɛ ma,elle est venue dellemême,16,24
a ya mɛ a,vous avez entendu ,9,18
o kun ba fɛ,elle a été aimée,11,16
ɔnhɔn ale le,oui c’est bien sur,12,18
o bina i ka balimamuso kanu,ils aimeront ta sœur,27,20
bɛ jera,tout le monde se tut,7,20
aw kɔrɔmuso duuru,leurs cinq sœurs,17,16
o kun ma lamɛn,ils ne lavaient pas écoutée,14,27
jigi ka bɔ kogo nin na jona,descend tout de suite du mur,27,28
bɛgɛn wɛrɛw,dautres animaux,11,15
teri jumanw la bina sɔrɔ,quels copains vatil avoir,24,25
anw bi min ,où sommesnous ,11,14
fɛn ɲuman le,cest une bonne chose,12,20
annu kɔrɔmuso kanu,on aimerait ta sœur,18,19
n bina nigɛjuru to ka da ma,je vais lui passer l’appareil,27,29
n binana tɛnɛlon,je viendrai lundi,16,17
mun na a ti ta ye,pourquoi n’y allezvous pas ,17,27
ni tun kɛra kɔnɔ ye,si tu étais un oiseau,19,21
n bi ni dɔgɔmuso fila ani dɔgɔcɛ kelen,j’ai deux sœurs et un frère,38,27
a ye dɔ fɔ,dites quelque chose,10,19
fen mi nunuw mandi ye tugu,les choses que je naime plus,26,28
a kana a lamɛn,ne l’écoutez pas,14,16
mɔgɔ mugan ni wolonfila,vingtsept personnes,23,19
ni le kɛra i ta ye,c’est celuilà le tien,18,21
n bi ni saan bisaba ni fila de ye,j’ai trentedeux ans,33,19
n nana aw ye,je suis venu vous voir,12,22
aw ye mu le ye,questce que vous êtes ,14,22
n be segi ka ji don a la,je remets de l’eau,24,18
dugula kan deen le,c’est un homme du pays,18,22
mu le a bi fɛ ka fɔ,que voulezvous dire ,19,20
a sɔngɔ man gwɛlɛ,cest pas trop cher,17,18
kɛnɛya i yɛrɛ ma,guéristoi toimême,16,17
matilde dusu tun diyara,mathilde fut bien heureuse,23,26
mɔgɔsi te yi,il n’y a personne,12,17
n be na kɔ sigi ka ta sisan,je vais y aller maintenant,27,26
mɔgɔw man ça,les gens sont peu nombreux,12,26
n bi se ka aw dɛmɛ wa,je peux vous aider ,21,19
jama yɛrɛkɛla,et la foule se dispersa,13,23
a bi na mule la tigɛ,qu’estce que vous ferez ,20,24
jon le ye yeelen tigɛ,qui a éteint la lumière ,21,24
sini n bina fani ko,demain je laverai le linge,19,26
san joli lo ba fɛ,quel âge atelle ,17,16
tile mugan ni wɔrɔ,le vingtsixième jour,18,20
a bolo bɔra ra,il s’en est tiré,14,16
dɛlfine a kaɲi,delphine cest bon,14,17
n ka teri le kun,c’était mon ami,16,15
a ka fisa,c’est assez bien,9,16
erik ka sigiɲɔgɔnmuso,la petite voisine deric,21,23
n yi mɔgɔw ye,jai vu des gens,13,15
ayi boli lalɔ,arrêtez de vous enfuir,13,22
a kɛra kamelenin ye nga a ka teli,il est jeune et il est rapide,33,29
a tun bi tulon kɛra na ye,elle jouait avec elle,25,21
a kaɲin ten,c’est bon comme ça ,11,19
a bagenbagaw ka kɛnɛ a,comment vont vos parents ,22,25
n bina ta sini,je men irai demain,14,18
ayiwa an hakili ba ra,ah je me rappelle …,21,19
i lanibara la bina diya i ya ,tu es sûr que tu aimeras,29,24
n bina a daminɛ,je vais commencer,15,17
i bina joli juru lo ta ,combien vastu emprunter,23,23
anw be se ka mun le fara,que pourraiton ajouter,24,22
n ta lɔn a bi min fɛ,je ne sais pas ce quil veut,20,27
a kana lamɛ,ne lécoutez pas ,11,16
ayiwa an ba lamɛn na,allezy nous vous écoutons,20,25
a ka bɔn ne la kojugu,cest trop grand pour moi,21,24
o ka ca,elles sont trop nombreuses,7,26
o bi na denmisɛn kɔnɔntɔn minɛ,ils auront neuf enfants,30,23
n tɔgɔko johni,je mappelle john,14,16
i ta ɲɔgɔn,le même que le tien,10,19
a lani ta ra,vous n’y croyez pas,12,19
lugwɛma mugan ni fila,vingtdeux maisons blanches,21,26
en bèna ra,oui oui cest convenu …,10,22
manka dabila,arrête de faire du bruit,12,24
n ma tlera ta fɔlɔ,je nai pas encore déjeuné,18,25
ale ni jon le tun nana,avec qui étaitelle venu ,22,24
vélo parking kelé,un parc à vélos et un parking sont aménagés,17,43
nin bè gilan ni lo gnan nan man,c’est bien arrangé tout ça…,31,27
o ye mɔgɔ mugan ni wɔr,vingtsix personnes ont été tuées une vingtaine dautres blessées,22,63
aka digne,moi jaime,9,9
n bi yɛrɛ ɲiniga tumajuma le n ka sigiɲɔgɔw bi na yɛlɛma,je me demande quand mes voisins déménageront,56,44
sarlɛn ti na son ka son feen min bɛɛ bi na tɛmɛ fura nin ma,charlène a un peu de mal avec tout ce qui doit passer au four,59,61
n lanibɛra ko alugu lo jotara,je suis sûre que c’est encore vous qui aviez tort,29,49
omɛr sirana ko ye o ka saa,omer trembla de les voir périr,26,30
ne ka kan ki ɲininka fɛn fitinin dɔ la,je dois te demander un petit quelque chose,38,42
aw ka lemuru kumu sɔngɔ ka gɛlɛn,ils sont chers vos citrons,32,26
a bɔ ni be mɔgɔ sigɛni ma,vous avez lair fatigué,25,22
tle donna,le soleil sest couché,9,21
aw yi lɔ wagatini,attendez un petit moment ,17,25
a ti fɛ ka bɔ wa,vous ne voulez pas sortir …,16,27
mun na a ye nin kɛ,pourquoi avezvous fait ça ,18,26
a tun hɛrɛ foyi fɛ,il ne voulait point de paix,18,27
kulon kɛ minɛw tɛ,ce ne sont pas des jouets,17,25
ɛrber de matefelɔn ka dencɛ le,il est le fils de herbert de mathefelon,30,39
an ka barakɛbon,nos bureaux,15,11
ka ɲɔgɔn kanu,s’aimer,13,7
bolotigɛ kɔnɔ,dans ma main,13,12
n tun bi n yɛrɛ yela dugalen na,je me voyais dans le miroir,31,27
n kelen ta,pour moi tout seul,10,18
a sɔgɔn gɛlɛyara,ça a coûté cher,16,15
a ti fɛ ka taga,elle ne veut pas partir,15,23
i bi mule fɛ an na,qu’estce que tu me veux,18,23
n ga i bi na kule dabila,mais tu vas arrêter de crier,24,28
o lon ni lo,ils sont très connus,11,20
kamele sera,le gars est arrivé,11,18
i tena maga foyi ra tuguni,je ne toucherai plus à rien,26,27
juma lo a ba fɛ,lequel voulezvous ,15,18
yɔrɔ juma la bi bara kɛ,où travailletil ,23,16
a ba lɔn a ,vous la connaissez ,11,19
a taw filɛ,ça ne vous regarde pas,10,22
aw bi munlo yalala ,qu’estce que vous cherchez ,19,27
i yi nin ta min ,tas pris ça où,16,14
mun lo bi sera an ma,qu’est ce qui nous arrive ,20,26
an bina mun lo yɛlɛ ,qu’estce que vous ouvrirez ,20,27
wari ti n kun,je nai pas dargent sur moi,13,26
an ka dugu makoya bo ra,notre pays a besoin d’eux,23,25
ji caamanba beyi,il y a de leau en quantité,16,26
a ti mɛnni kɛra,vous nentendez pas ,15,19
a nako yèna,vous êtes la bienvenue,11,22
yoro ni diara ayé kodjougou,ça vous a plu ici ,27,18
a koun ya fonyé na bi yèlè la,il m’avait dit cela en riant,29,28
djon lo ya fo a yé,qui vous la dit ,18,16
o tun yi kanu,vous avez été aimé,13,18
a tun bi tulon kra no ye,elle jouait avec eux,24,20
n ka la bon na,dans ma chambre,14,15
o bi nana suni na,ils viennent ce soir ,17,21
a sigira bolo jugura,elle s’assied à gauche,20,22
wagati djoumè lo a kèra,à quelle heure cest arrivé ,23,27
humm toun ma miri ko wèra la,je ne la souhaitais pas autrement,28,33
a bi min,où estil ,8,9
aw ta mɛn na wa ,vous n’entendez pas ,16,20
mun na a bɛ nin bɛɛ fɔ n ye,pourquoi me ditesvous tout ça ,27,30
a laban,le dernier,7,10
ayi mouné yinika a fè,qu’estce qu’elle vous a demandé ,21,32
nga sotigi dô,où est mon mari ,13,16
môgô min bi nafolo yé a bi na bè ta sara,celui qui a de largent paiera pour les autres,40,45
hum akili bara,je me souviens,14,14
a bi tagara kalanso,elle va à l’école,19,17
a ka na an lamɛn,ne nous écoutez pas,16,19
jɛgɛ bi sɔrɔmi,on retrouve de poissons,14,23
an janfara,nous sommes trahis,10,18
iba lon a bi na min ké wa,tu sais ce qu’il faudrait,25,25
a bi fèga ta wa,vous ne voulez pas partir,15,25
a toun sigê ni lo,je pensais qu’il était fatigué,17,30
mogô nana yan,les gens sont arrivés ici,13,25
n lanibara,je crois en vous,10,16
a bi na taga tuma juma,quand irezvous ,22,15
i ka ye n bi fɛ ka min fɔ,tu vois ce que je veux dire,25,27
fɛn fɔlɔ min kaɲi ka kɛ,la première chose à faire…,23,26
kɔlɔn dɔ ka ji,de leau dun puits,14,17
a cɛ ka ɲi caama,il est trop beau,16,16
biwɔrɔ ani tan ni kelen,soixante et onze,23,16
kana denmisɛnya kɛ,ne fais pas l’enfant,18,20
a tina kɛ basi ye,ce ne sera pas un problème,17,26
an ti don ,on n’entre pas …,10,16
walisa a ka na kɛ dugugwɛ ko ye,surtout pas trop tôt,31,20
n facɛ kɛra mɔgɔ sɔbɛye,mon père est très honnête,23,25
a kɛra cogodi ka jigi,comment arrivatil au bas,21,24
a bi mi do,où estil où estil ,10,18
yan de ye basi ni ye,c’est bien là le problème,20,25
bi ye tarata don ye,aujourdhui cest mardi,19,21
mɔbili kelen ban fɛ,nous avons une voiture,19,22
a djo tara,c’est la faute de qui ,10,22
mobili bi a fè wa,avezvous une voiture,17,20
bi dji di a ma,je remets de l’eau,14,18
hun koun bi dimi na,jai mal à la tête,19,17
a bi se galon tigê ra,il sait très bien mentir,21,24
a bina donkè soufè,ce soir elle va danser,18,22
lafien touma,un moment de repos,12,18
alé koni toun tè,ce n’était pas cela du tout,16,27
djolo bini blasira,qui taccompagne ,18,16
aka tcha,on en a toujours trop,8,21
djama na koura,sur la terre étrangère ,14,23
ni yé mou yé,qu’estce que c’est que ça ,12,26
ya ɲinigɛ wa,je vous ai demandé ,12,19
bɔrɔ bi naani ni kɔnɔtɔn,quaranteneuf sacs,24,17
an bɛ taa mi,où estce qu’on va,12,17
n bɛ na na tɛnɛ lo,je viendrai lundi,18,17
nga ma foyi fô,mais je n’ai rien dit,14,21
yezu kɔ an kana baga ɲɔgɔn ma,jésus défend daccuser autrui,29,28
ayi nga kouma yèlè ma,il a mal traduit ma phrase,21,26
anw ni ou lo,c’est les nôtres,12,16
a tan fè,nous navons pas,8,15
olou lo,cest les siens,7,14
a bi kalo sqba bô,il y a trois mois,17,17
mina kaou yé,je vais vous la faire,12,21
maxime lo bi a yafôra,c’est maxime qui raconte,21,24
a kagni ka fô,c’est bien de le dire,13,21
iyo nèni,et tu les as insultés,8,21
an tounti so yera,on ne voyait pas lhabitation,17,28
a ya bolo bila yongon kan,la veuve joignit les mains,25,26
ne ti fè ka tama djona,je ne veux pas marcher vite,22,27
bâ lon sissan,je le sais maintenant,13,21
a ti siran,il na pas peur,10,14
aw ni sɔgɔma n teriw,bonjour les amis,20,16
wulumiso naani,quatre chiennes,14,15
a bɔɔ ni lo kɔnɔni ma,atil l’air d’un oison ,21,22
n belenden n ka wulafɛfori sera i ma,mon neveu je vous donne le bonsoir,36,34
daraka mɔna,le petitdéjeuner est prêt,11,25
barada nɔgɔman,un métier bien facile,14,21
kalo le bi bɔra,c’est la lune qui se lève,15,25
fɛn sanuya ni,quelque chose de propre,13,23
a se ra sigɛn ma,ça vaut la peine ,16,17
wagati juma le bé yi,quelle heure estil ,20,19
n mayɛlɛ fɛnwɛrɛ kama,je ne suis pas montée pour autre chose,21,38
iyi djon yé,t’es qui ,11,9
sama denn nani,quatre éléphants,14,16
mouna iti la ni ayé,pourquoi ne couchestu pas avec ,19,31
fari sogo tigi tè,son corps est élancé,17,20
a la ni bara wane ti fèga lara,vous croyez je voudrais ne pas le croire,30,40
da yelɛ i bi sɔrɔn ka taa,ouvre la porte avant de partir,25,30
kounou tou yeé lamsa yé,hier c’était jeudi,23,18
sama fiman bi saba ni lorou,trente cinq éléphants noirs,27,27
nne ye obama ka musu,je suis mme obama,20,17
n lanibala,je suis certain,10,15
a ta bi yan,le sien est ici,11,15
sinɔgɔ tun bi n na,javais sommeil,18,14
tɔgɔ juma de bi fɛ,quel nom astu ,18,14
i kunbirila,dans ton genou,11,14
a kakoya bi fɛn wɛrɛ la,vous avez besoin de quelque chose dautre ,23,41
